MAKE	MODEL	CARID	CARID_YR	HEAD_INJ	CHEST_IN	LLEG_INJ	RLEG_INJ	DRIV_PAS	PROTECT	DOORS	YEAR	WEIGHT	SIZE	SIZE2	PROTECT2
Chevrolet	Caprice        	Chevrolet Caprice        	Chevrolet Caprice 89        	1365	42	260	495	Passen	manual belts   	4    	89	3693	hev 	4	1
Chevrolet	Caprice        	Chevrolet Caprice        	Chevrolet Caprice 91        	1101	48	1527	626	Passen	d airbag       	4    	91	3990	hev 	4	4
Chevrolet	Cavalier       	Chevrolet Cavalier       	Chevrolet Cavalier 90       	485	37	1749	890	Passen	passive belts  	4    	90	2540	comp	1	3
Chevrolet	Corsica        	Chevrolet Corsica        	Chevrolet Corsica 88        	752	40	614	845	Passen	manual belts   	4    	88	2750	comp	1	1
Chevrolet	Corsica        	Chevrolet Corsica        	Chevrolet Corsica 91        	956	44	1377	424	Passen	d airbag       	4    	91	2830	comp	1	4
Chevrolet	C-1500         	Chevrolet C-1500         	Chevrolet C-1500 88         	374	46	1207	306	Passen	manual belts   	-    	88	3680	pu  	7	1
Chevrolet	G-20 Beauville 	Chevrolet G-20 Beauville 	Chevrolet G-20 Beauville 87 	1719	43	1507	 	Passen	manual belts   	-    	87	4887	van 	6	1
Chevrolet	G-20           	Chevrolet G-20           	Chevrolet G-20 88           	1452	56	2447	259	Passen	manual belts   	-    	88	4244	van 	6	1
Chevrolet	Lumina         	Chevrolet Lumina         	Chevrolet Lumina 90         	 	 	935	 	Passen	passive belts  	4    	90	3155	med 	3	3
Chevrolet	Suburban       	Chevrolet Suburban       	Chevrolet Suburban 87       	 	42	101	358	Passen	manual belts   	4    	87	5619	mpv 	8	1
Chevrolet	S-10 Blazer 4X4	Chevrolet S-10 Blazer 4X4	Chevrolet S-10 Blazer 4X4 89	2482	48	 	 	Passen	manual belts   	2    	89	3518	mpv 	8	1
Chevrolet	S-10 Blazer 4X4	Chevrolet S-10 Blazer 4X4	Chevrolet S-10 Blazer 4X4 90	 	45	1106	975	Passen	manual belts   	2    	90	3720	mpv 	8	1
Chevrolet	S-10 Blazer 4X4	Chevrolet S-10 Blazer 4X4	Chevrolet S-10 Blazer 4X4 91	1826	51	1909	515	Passen	manual belts   	4    	91	3820	mpv 	8	1
Chevrolet	S-10 Pickup    	Chevrolet S-10 Pickup    	Chevrolet S-10 Pickup 87    	522	34	1476	699	Passen	manual belts   	-    	87	2592	pu  	7	1
Chevrolet	S-10 Pickup 4x4	Chevrolet S-10 Pickup 4x4	Chevrolet S-10 Pickup 4x4 90	1358	53	2046	804	Passen	manual belts   	-    	90	3360	pu  	7	1
Chrysler 	Fifth Ave      	Chrysler Fifth Ave       	Chrysler Fifth Ave 89       	682	43	766	575	Passen	d airbag       	4    	89	3820	hev 	4	4
Chrysler 	Imperial       	Chrysler Imperial        	Chrysler Imperial 90        	2132	56	862	863	Passen	d airbag       	4    	90	3540	hev 	4	4
Chrysler 	Le Baron       	Chrysler Le Baron        	Chrysler Le Baron 87        	1698	82	1863	853	Passen	passive belts  	2    	87	2870	comp	1	3
Chrysler 	Le Baron       	Chrysler Le Baron        	Chrysler Le Baron 90        	2043	46	1119	769	Passen	d airbag       	2    	90	3000	med 	3	4
Chrysler 	New Yorker     	Chrysler New Yorker      	Chrysler New Yorker 88      	424	43	1580	454	Passen	manual belts   	4    	88	3190	med 	3	1
Chrysler 	New Yorker     	Chrysler New Yorker      	Chrysler New Yorker 91      	 	 	1133	794	Passen	d airbag       	4    	91	3310	med 	3	4
Daihatsu 	Charade        	Daihatsu Charade         	Daihatsu Charade 88         	642	37	1188	388	Passen	manual belts   	2    	88	1820	mini	5	1
Dodge    	colt           	Dodge colt               	Dodge colt 88               	816	38	402	1601	Passen	manual belts   	4    	88	2348	lt  	2	1
Dodge    	D-150          	Dodge D-150              	Dodge D-150 88              	466	35	396	276	Passen	manual belts   	-    	88	3550	pu  	7	1
Dodge    	Dakota         	Dodge Dakota             	Dodge Dakota 87             	754	41	213	460	Passen	manual belts   	-    	87	3010	pu  	7	1
Dodge    	Dakota 4x4     	Dodge Dakota 4x4         	Dodge Dakota 4x4 90         	558	56	846	625	Passen	manual belts   	-    	90	3740	pu  	7	1
Dodge    	Daytona        	Dodge Daytona            	Dodge Daytona 89            	297	32	795	457	Passen	d airbag       	2    	89	2790	comp	1	4
Dodge    	Shadow         	Dodge Shadow             	Dodge Shadow 87             	653	36	748	486	Passen	manual belts   	2    	87	2550	comp	1	1
Dodge    	Shadow         	Dodge Shadow             	Dodge Shadow 91             	457	39	739	781	Passen	d airbag       	4    	91	2730	comp	1	4
Dodge    	Spirit         	Dodge Spirit             	Dodge Spirit 89             	537	45	1295	707	Passen	manual belts   	4    	89	2840	comp	1	1
Eagle    	Medallion      	Eagle Medallion          	Eagle Medallion 89          	589	39	1738	1670	Passen	Motorized belts	4    	89	2740	comp	1	2
Eagle    	Premier        	Eagle Premier            	Eagle Premier 89            	868	44	1011	685	Passen	manual belts   	4    	89	3060	med 	3	1
Ford     	Aerostar       	Ford Aerostar            	Ford Aerostar 87            	1070	54	518	446	Passen	manual belts   	-    	87	3013	van 	6	1
Ford     	Bronco II 4x4  	Ford Bronco II 4x4       	Ford Bronco II 4x4 89       	950	51	2110	289	Passen	manual belts   	2    	89	3485	mpv 	8	1
Ford     	Club Wagon     	Ford Club Wagon          	Ford Club Wagon 90          	1896	49	3347	1294	Passen	manual belts   	-    	90	5103	van 	6	1
Ford     	Escort         	Ford Escort              	Ford Escort 87              	418	40	1053	619	Passen	passive belts  	2    	87	2280	lt  	2	3
Ford     	Escort         	Ford Escort              	Ford Escort 91              	450	39	1055	1119	Passen	Motorized belts	2    	91	2336	lt  	2	2
Ford     	Explorer 4x4   	Ford Explorer 4x4        	Ford Explorer 4x4 91        	 	 	606	718	Passen	manual belts   	4    	91	4212	mpv 	8	1
Ford     	F-150          	Ford F-150               	Ford F-150 88               	587	38	1090	295	Passen	manual belts   	-    	88	3757	pu  	7	1
Ford     	Festiva        	Ford Festiva             	Ford Festiva 88             	822	43	876	251	Passen	manual belts   	2    	88	1760	mini	5	1
Ford     	Mustang LX     	Ford Mustang LX          	Ford Mustang LX 87          	301	34	1589	290	Passen	manual belts   	2    	87	2868	comp	1	1
Ford     	Mustang        	Ford Mustang             	Ford Mustang 90             	438	50	1707	408	Passen	d airbag       	2    	90	3445	med 	3	4
Ford     	Probe          	Ford Probe               	Ford Probe 89               	496	35	870	187	Passen	manual belts   	2    	89	2650	comp	1	1
Ford     	Probe          	Ford Probe               	Ford Probe 91               	418	45	1592	1033	Passen	Motorized belts	2    	91	2810	comp	1	2
Ford     	Ranger         	Ford Ranger              	Ford Ranger 87              	551	47	526	701	Passen	manual belts   	-    	87	2668	pu  	7	1
Ford     	Ranger 4x4     	Ford Ranger 4x4          	Ford Ranger 4x4 90          	736	52	3200	282	Passen	manual belts   	-    	90	3533	pu  	7	1
Ford     	Taurus         	Ford Taurus              	Ford Taurus 88              	359	47	775	438	Passen	manual belts   	4    	88	3140	med 	3	1
Ford     	Taurus         	Ford Taurus              	Ford Taurus 90              	609	40	1261	318	Passen	d airbag       	4    	90	3080	med 	3	4
Ford     	Taurus         	Ford Taurus              	Ford Taurus 91              	258	38	1594	708	Passen	d airbag       	4    	91	3290	med 	3	4
Ford     	Tempo          	Ford Tempo               	Ford Tempo 88               	470	50	1773	702	Passen	passive belts  	4    	88	2660	comp	1	3
Ford     	T-Bird         	Ford T-Bird              	Ford T-Bird 89              	496	40	1138	776	Passen	Motorized belts	2    	89	3630	hev 	4	2
Geo      	Metro          	Geo Metro                	Geo Metro 89                	1177	33	671	571	Passen	manual belts   	2    	89	1590	mini	5	1
Geo      	Metro          	Geo Metro                	Geo Metro 89                	840	46	244	1002	Passen	manual belts   	4    	89	1650	mini	5	1
Geo      	Prizm          	Geo Prizm                	Geo Prizm 90                	1141	53	1549	447	Passen	manual belts   	4    	90	2355	lt  	2	1
Geo      	Storm          	Geo Storm                	Geo Storm 91                	981	45	508	555	Passen	d airbag       	2    	91	2250	lt  	2	4
Honda    	Accord         	Honda Accord             	Honda Accord 87             	382	36	695	558	Passen	passive belts  	2    	87	2440	lt  	2	3
Honda    	Accord Dx      	Honda Accord Dx          	Honda Accord Dx 91          	378	40	1452	900	Passen	Motorized belts	4    	91	2850	comp	1	2
Honda    	Accord Lx      	Honda Accord Lx          	Honda Accord Lx 91          	539	43	1015	562	Passen	d airbag       	4    	91	3160	med 	3	4
Honda    	Civic          	Honda Civic              	Honda Civic 91              	601	47	2158	624	Passen	Motorized belts	4    	91	2252	lt  	2	2
Honda    	Civic Crx      	Honda Civic Crx          	Honda Civic Crx 89          	520	37	903	375	Passen	manual belts   	2    	89	1882	mini	5	1
Honda    	Civic Dx       	Honda Civic Dx           	Honda Civic Dx 88           	533	38	816	184	Passen	manual belts   	2    	88	2077	lt  	2	1
Honda    	Prelude        	Honda Prelude            	Honda Prelude 90            	854	48	674	733	Passen	passive belts  	2    	90	2650	comp	1	3
Hyundai  	Excel          	Hyundai Excel            	Hyundai Excel 87            	345	46	1794	1006	Passen	passive belts  	4    	87	2200	lt  	2	3
Hyundai  	Excel          	Hyundai Excel            	Hyundai Excel 87            	1003	43	345	775	Passen	manual belts   	2    	87	2180	lt  	2	1
Hyundai  	Excel          	Hyundai Excel            	Hyundai Excel 90            	419	39	1921	964	Passen	Motorized belts	2    	90	2200	lt  	2	2
Hyundai  	Scoupe         	Hyundai Scoupe           	Hyundai Scoupe 91           	618	42	966	333	Passen	passive belts  	2    	91	2201	lt  	2	3
Hyundai  	Sonata         	Hyundai Sonata           	Hyundai Sonata 89           	937	53	603	293	Passen	manual belts   	4    	89	2850	comp	1	1
Infiniti 	M-30           	Infiniti M-30            	Infiniti M-30 90            	443	45	1132	716	Passen	d airbag       	2    	90	3370	med 	3	4
Isuzu    	Amigo          	Isuzu Amigo              	Isuzu Amigo 90              	744	63	319	458	Passen	manual belts   	2    	90	2900	mpv 	8	1
Isuzu    	I-Mark         	Isuzu I-Mark             	Isuzu I-Mark 87             	1042	51	747	225	Passen	manual belts   	4    	87	2100	lt  	2	1
Isuzu    	Rodeo          	Isuzu Rodeo              	Isuzu Rodeo 91              	884	71	469	420	Passen	manual belts   	4    	91	3450	mpv 	8	1
Isuzu    	Spacecab       	Isuzu Spacecab           	Isuzu Spacecab 87           	1067	58	279	480	Passen	manual belts   	-    	87	2766	pu  	7	1
Isuzu    	Spacecab       	Isuzu Spacecab           	Isuzu Spacecab 88           	723	55	412	172	Passen	manual belts   	-    	88	3128	pu  	7	1
Isuzu    	Stylus         	Isuzu Stylus             	Isuzu Stylus 91             	 	46	859	717	Passen	d airbag       	4    	91	2333	lt  	2	4
Isuzu    	Trooper II 4x4 	Isuzu Trooper II 4x4     	Isuzu Trooper II 4x4 89     	1520	59	804	262	Passen	manual belts   	4    	89	3685	mpv 	8	1
Isuzu    	Trooper II 4x4 	Isuzu Trooper II 4x4     	Isuzu Trooper II 4x4 90     	1952	64	430	141	Passen	manual belts   	4    	90	3684	mpv 	8	1
Jeep     	Cherokee 4x4   	Jeep Cherokee 4x4        	Jeep Cherokee 4x4 89        	1796	43	1486	337	Passen	manual belts   	4    	89	3284	mpv 	8	1
Jeep     	Cherokee 4x4   	Jeep Cherokee 4x4        	Jeep Cherokee 4x4 90        	841	52	1277	692	Passen	manual belts   	4    	90	3270	mpv 	8	1
Jeep     	Comanche       	Jeep Comanche            	Jeep Comanche 87            	2700	48	923	761	Passen	manual belts   	-    	87	2907	pu  	7	1
Jeep     	Wrangler YJ 4x4	Jeep Wrangler YJ 4x4     	Jeep Wrangler YJ 4x4 87     	1229	40	758	783	Passen	manual belts   	2    	87	3120	mpv 	8	1
Lexus    	ES250          	Lexus ES250              	Lexus ES250 90              	630	47	1689	1075	Passen	d airbag       	4    	90	3280	med 	3	4
Lincoln  	Continental    	Lincoln Continental      	Lincoln Continental 89      	492	 	1326	1090	Passen	d&p airbags    	4    	89	3710	hev 	4	 
Lincoln  	Town Car       	Lincoln Town Car         	Lincoln Town Car 90         	 	36	883	644	Passen	d&p airbags    	4    	90	4080	hev 	4	 
Mazda    	626            	Mazda 626                	Mazda 626 87                	801	46	1300	1255	Passen	passive belts  	4    	87	2590	comp	1	3
Mazda    	929            	Mazda 929                	Mazda 929 88                	859	49	774	450	Passen	manual belts   	4    	88	3470	med 	3	1
Mazda    	Miata          	Mazda Miata              	Mazda Miata 90              	531	42	796	763	Passen	d airbag       	2    	90	2190	lt  	2	4
Mazda    	Mpv            	Mazda Mpv                	Mazda Mpv 91                	500	48	579	776	Passen	manual belts   	-    	91	3730	van 	6	1
Mazda    	Protege        	Mazda Protege            	Mazda Protege 91            	612	51	851	997	Passen	Motorized belts	4    	91	2417	lt  	2	2
Mazda    	RX-7           	Mazda RX-7               	Mazda RX-7 88               	614	48	1135	650	Passen	manual belts   	2    	88	2630	comp	1	1
Mercedes 	190E           	Mercedes 190E            	Mercedes 190E 90            	833	58	1028	331	Passen	d airbag       	4    	90	3058	med 	3	4
Mercury  	Sable          	Mercury Sable            	Mercury Sable 88            	410	35	1512	913	Passen	manual belts   	4    	88	3200	med 	3	1
Mercury  	Topaz          	Mercury Topaz            	Mercury Topaz 87            	626	40	1277	455	Passen	d airbag       	4    	87	2725	comp	1	4
Mercury  	Tracer         	Mercury Tracer           	Mercury Tracer 89           	425	38	733	581	Passen	manual belts   	4    	89	2280	lt  	2	1
Mitsubish	Eclipse        	Mitsubishi Eclipse       	Mitsubishi Eclipse 90       	612	40	1033	413	Passen	Motorized belts	2    	90	2594	comp	1	2
Mitsubish	Galant         	Mitsubishi Galant        	Mitsubishi Galant 89        	998	40	1229	526	Passen	manual belts   	4    	89	2740	comp	1	1
Mitsubish	Galant         	Mitsubishi Galant        	Mitsubishi Galant 91        	711	53	1395	1232	Passen	Motorized belts	4    	91	2838	comp	1	2
Mitsubish	Mirage         	Mitsubishi Mirage        	Mitsubishi Mirage 89        	772	42	1367	1078	Passen	Motorized belts	4    	89	2370	lt  	2	2
Mitsubish	Montero 4x4    	Mitsubishi Montero 4x4   	Mitsubishi Montero 4x4 88   	488	50	1001	302	Passen	manual belts   	2    	88	3298	mpv 	8	1
Mitsubish	Starion        	Mitsubishi Starion       	Mitsubishi Starion 87       	377	46	1752	1323	Passen	passive belts  	2    	87	3020	med 	3	3
Mitsubish	Wagon          	Mitsubishi Wagon         	Mitsubishi Wagon 89         	713	51	1607	791	Passen	manual belts   	-    	89	3441	van 	6	1
Nissan   	240sx          	Nissan 240sx             	Nissan 240sx 89             	525	44	656	854	Passen	Motorized belts	2    	89	2680	comp	1	2
Nissan   	200sx          	Nissan 200sx             	Nissan 200sx 87             	664	37	740	89	Passen	manual belts   	2    	87	2739	comp	1	1
Nissan   	300zx          	Nissan 300zx             	Nissan 300zx 91             	 	47	1415	1552	Passen	d airbag       	2    	91	3324	med 	3	4
Nissan   	Axxess         	Nissan Axxess            	Nissan Axxess 90            	654	46	1266	1143	Passen	passive belts  	-    	90	3037	van 	6	3
Nissan   	Maxima         	Nissan Maxima            	Nissan Maxima 89            	736	44	664	1043	Passen	Motorized belts	4    	89	3160	med 	3	2
Nissan   	Maxima SE      	Nissan Maxima SE         	Nissan Maxima SE 88         	861	49	1500	1049	Passen	passive belts  	4    	88	3210	med 	3	3
Nissan   	NL Xev Pickup  	Nissan NL Xev Pickup     	Nissan NL Xev Pickup 88     	1242	53	609	198	Passen	manual belts   	-    	88	2631	pu  	7	1
Nissan   	Pickup         	Nissan Pickup            	Nissan Pickup 87            	1244	45	531	617	Passen	manual belts   	-    	87	2714	pu  	7	1
Nissan   	Pickup         	Nissan Pickup            	Nissan Pickup 89            	965	35	 	332	Passen	manual belts   	-    	89	2670	pu  	7	1
Nissan   	Pulsar Nx      	Nissan Pulsar Nx         	Nissan Pulsar Nx 88         	430	31	122	1742	Passen	manual belts   	2    	88	2480	lt  	2	1
Nissan   	Sentra         	Nissan Sentra            	Nissan Sentra 87            	799	 	615	415	Passen	manual belts   	4    	87	2296	lt  	2	1
Nissan   	Sentra         	Nissan Sentra            	Nissan Sentra 88            	526	42	686	853	Passen	manual belts   	4    	88	2328	lt  	2	1
Nissan   	Sentra         	Nissan Sentra            	Nissan Sentra 91            	681	45	1210	 	Passen	Motorized belts	2    	91	2420	lt  	2	2
Nissan   	Stanza         	Nissan Stanza            	Nissan Stanza 90            	629	47	1205	744	Passen	Motorized belts	4    	90	2790	comp	1	2
Nissan   	Stanza         	Nissan Stanza            	Nissan Stanza 91            	 	 	971	558	Passen	Motorized belts	4    	91	2740	comp	1	2
Nissan   	Van Xe         	Nissan Van Xe            	Nissan Van Xe 88            	597	36	1708	1331	Passen	manual belts   	-    	88	3560	van 	6	1
Oldsmobil	Calais         	Oldsmobile Calais        	Oldsmobile Calais 87        	328	40	1737	555	Passen	passive belts  	4    	87	2650	comp	1	3
Oldsmobil	Delta 88       	Oldsmobile Delta 88      	Oldsmobile Delta 88 88      	539	38	2119	593	Passen	d airbag       	4    	88	3460	med 	3	4
Peugeot  	505S           	Peugeot 505S             	Peugeot 505S 89             	2192	77	839	554	Passen	Motorized belts	4    	89	3010	med 	3	2
Peugeot  	505            	Peugeot 505              	Peugeot 505 87              	1786	50	546	176	Passen	manual belts   	4    	87	2900	comp	1	1
Peugeot  	505 GLS        	Peugeot 505 GLS          	Peugeot 505 GLS 88          	157	45	930	328	Passen	passive belts  	4    	88	3070	med 	3	3
Plymouth 	Acclaim        	Plymouth Acclaim         	Plymouth Acclaim 89         	810	50	1552	873	Passen	manual belts   	4    	89	2820	comp	1	1
Plymouth 	Acclaim        	Plymouth Acclaim         	Plymouth Acclaim 91         	446	43	891	1117	Passen	d airbag       	4    	91	2860	comp	1	4
Plymouth 	Sundance       	Plymouth Sundance        	Plymouth Sundance 87        	 	41	832	540	Passen	manual belts   	4    	87	2580	comp	1	1
Plymouth 	Voyager        	Plymouth Voyager         	Plymouth Voyager 87         	501	47	1595	275	Passen	manual belts   	-    	87	3040	van 	6	1
Pontiac  	Grand Am       	Pontiac Grand Am         	Pontiac Grand Am 87         	601	41	1848	529	Passen	passive belts  	2    	87	2530	comp	1	3
Pontiac  	Le Mans        	Pontiac Le Mans          	Pontiac Le Mans 88          	897	44	792	389	Passen	manual belts   	2    	88	2200	lt  	2	1
Pontiac  	Sunbird        	Pontiac Sunbird          	Pontiac Sunbird 87          	404	37	1079	211	Passen	manual belts   	4    	87	2415	lt  	2	1
Pontiac  	Trans Sport    	Pontiac Trans Sport      	Pontiac Trans Sport 90      	595	37	253	287	Passen	manual belts   	-    	90	3740	van 	6	1
Renault  	Medallion      	Renault Medallion        	Renault Medallion 88        	873	38	617	1193	Passen	manual belts   	4    	88	2660	comp	1	1
Saab     	900S           	Saab 900S                	Saab 900S 88                	1250	35	1395	1535	Passen	passive belts  	2    	88	2840	comp	1	3
Saab     	9000           	Saab 9000                	Saab 9000 87                	440	35	346	638	Passen	manual belts   	4    	87	2990	comp	1	1
Saturn   	SL2            	Saturn SL2               	Saturn SL2 91               	1018	46	1326	974	Passen	Motorized belts	4    	91	2453	lt  	2	2
Subaru   	GL             	Subaru GL                	Subaru GL 87                	884	44	694	309	Passen	manual belts   	4    	87	2254	lt  	2	1
Subaru   	Justy DL       	Subaru Justy DL          	Subaru Justy DL 87          	547	38	1256	426	Passen	manual belts   	2    	87	1660	mini	5	1
Subaru   	Legacy         	Subaru Legacy            	Subaru Legacy 90            	675	44	1899	1121	Passen	Motorized belts	4    	90	2640	comp	1	2
Suzuki   	Sidekick 4x4   	Suzuki Sidekick 4x4      	Suzuki Sidekick 4x4 89      	1763	70	1860	2259	Passen	manual belts   	2    	89	2311	mpv 	8	1
Suzuki   	Sidekick 4x4   	Suzuki Sidekick 4x4      	Suzuki Sidekick 4x4 91      	2017	55	1283	1252	Passen	manual belts   	2    	91	2643	mpv 	8	1
Toyota   	4-Runner 4x4   	Toyota 4-Runner 4x4      	Toyota 4-Runner 4x4 90      	1133	47	1429	320	Passen	manual belts   	4    	90	3860	mpv 	8	1
Toyota   	Camry          	Toyota Camry             	Toyota Camry 87             	973	46	1200	1167	Passen	passive belts  	4    	87	2780	comp	1	3
Toyota   	Celica         	Toyota Celica            	Toyota Celica 90            	685	37	1190	609	Passen	d airbag       	2    	90	2460	lt  	2	4
Toyota   	Corolla Fx     	Toyota Corolla Fx        	Toyota Corolla Fx 88        	397	40	1162	393	Passen	manual belts   	2    	88	2320	lt  	2	1
Toyota   	Corolla        	Toyota Corolla           	Toyota Corolla 89           	546	45	894	681	Passen	manual belts   	4    	89	2370	lt  	2	1
Toyota   	Corolla        	Toyota Corolla           	Toyota Corolla 91           	613	 	917	1469	Passen	passive belts  	4    	91	2405	lt  	2	3
Toyota   	Cressida       	Toyota Cressida          	Toyota Cressida 89          	544	51	1554	1107	Passen	Motorized belts	4    	89	3450	med 	3	2
Toyota   	Pickup         	Toyota Pickup            	Toyota Pickup 87            	699	39	500	532	Passen	manual belts   	-    	87	2508	pu  	7	1
Toyota   	Pickup         	Toyota Pickup            	Toyota Pickup 89            	883	46	614	493	Passen	manual belts   	-    	89	2543	pu  	7	1
Toyota   	Pickup 4x4     	Toyota Pickup 4x4        	Toyota Pickup 4x4 91        	808	50	 	781	Passen	manual belts   	-    	91	3284	pu  	7	1
Toyota   	Previa         	Toyota Previa            	Toyota Previa 91            	790	47	322	560	Passen	manual belts   	-    	91	3642	van 	6	1
Toyota   	Tercel         	Toyota Tercel            	Toyota Tercel 88            	398	42	572	261	Passen	manual belts   	2    	88	2100	lt  	2	1
Toyota   	Tercel         	Toyota Tercel            	Toyota Tercel 91            	729	51	1325	949	Passen	passive belts  	4    	91	2120	lt  	2	3
Toyota   	Van            	Toyota Van               	Toyota Van 89               	530	54	2741	847	Passen	manual belts   	-    	89	3277	van 	6	1
Volkswage	Fox            	Volkswagen Fox           	Volkswagen Fox 87           	2140	52	723	450	Passen	manual belts   	2    	87	2140	lt  	2	1
Volkswage	Fox            	Volkswagen Fox           	Volkswagen Fox 88           	1424	44	 	478	Passen	manual belts   	2    	88	2200	lt  	2	1
Volkswage	Fox            	Volkswagen Fox           	Volkswagen Fox 89           	818	58	738	508	Passen	manual belts   	2    	89	2150	lt  	2	1
Volkswage	Passat         	Volkswagen Passat        	Volkswagen Passat 90        	604	46	1154	2474	Passen	Motorized belts	4    	90	2990	comp	1	2
Volkswage	Vanagon GL     	Volkswagen Vanagon GL    	Volkswagen Vanagon GL 88    	899	48	1963	1014	Passen	manual belts   	-    	88	3520	van 	6	1
Volvo    	740 GLE        	Volvo 740 GLE            	Volvo 740 GLE 88            	445	42	1793	634	Passen	d airbag       	4    	88	3010	med 	3	4
Yugo     	GV             	Yugo GV                  	Yugo GV 87                  	379	41	585	172	Passen	manual belts   	2    	87	1850	mini	5	1
